"anio";"codigo";"localidad";"EDAD_EPIDEMIO";"sexo";"poblacion"
2022;"26";"26-CHUBUT";"4.15-19";"Mujeres";24098
2022;"26";"26-CHUBUT";"4.15-19";"Varones";25789
2022;"26";"26-CHUBUT";"5.20-24";"Ambos sexos";47928
2022;"26";"26-CHUBUT";"5.20-24";"Mujeres";23296
2022;"26";"26-CHUBUT";"5.20-24";"Varones";24632
2022;"26";"26-CHUBUT";"6.25-29";"Ambos sexos";47723
2022;"26";"26-CHUBUT";"6.25-29";"Mujeres";23404
2022;"26";"26-CHUBUT";"6.25-29";"Varones";24319
2022;"26";"26-CHUBUT";"7.30-34";"Ambos sexos";48402
2022;"26";"26-CHUBUT";"7.30-34";"Mujeres";23914
2022;"26";"26-CHUBUT";"7.30-34";"Varones";24488
2022;"26";"26-CHUBUT";"8.35-39";"Ambos sexos";49443
2022;"26";"26-CHUBUT";"8.35-39";"Mujeres";24227
2022;"26";"26-CHUBUT";"8.35-39";"Varones";25216
2022;"26";"26-CHUBUT";"9.40-44";"Ambos sexos";48933
2022;"26";"26-CHUBUT";"9.40-44";"Mujeres";23875
2022;"26";"26-CHUBUT";"9.40-44";"Varones";25058
2022;"30";"30-ENTRE RÍOS";"1.0-4";"Ambos sexos";110806
2022;"30";"30-ENTRE RÍOS";"1.0-4";"Mujeres";53762
2022;"30";"30-ENTRE RÍOS";"1.0-4";"Varones";57044
2022;"30";"30-ENTRE RÍOS";"10.45-49";"Ambos sexos";86011
2022;"30";"30-ENTRE RÍOS";"10.45-49";"Mujeres";43597
2022;"30";"30-ENTRE RÍOS";"10.45-49";"Varones";42414
2022;"30";"30-ENTRE RÍOS";"11.50-54";"Ambos sexos";73028
2022;"30";"30-ENTRE RÍOS";"11.50-54";"Mujeres";37170
2022;"30";"30-ENTRE RÍOS";"11.50-54";"Varones";35858
2022;"30";"30-ENTRE RÍOS";"12.55-59";"Ambos sexos";66525
2022;"30";"30-ENTRE RÍOS";"12.55-59";"Mujeres";34385
2022;"30";"30-ENTRE RÍOS";"12.55-59";"Varones";32140
2022;"30";"30-ENTRE RÍOS";"13.60-64";"Ambos sexos";60740
2022;"30";"30-ENTRE RÍOS";"13.60-64";"Mujeres";32249
2022;"30";"30-ENTRE RÍOS";"13.60-64";"Varones";28491
2022;"30";"30-ENTRE RÍOS";"14.De 65 anios y mas";"Ambos sexos";172019
2022;"30";"30-ENTRE RÍOS";"14.De 65 anios y mas";"Mujeres";100777
2022;"30";"30-ENTRE RÍOS";"14.De 65 anios y mas";"Varones";71242
2022;"30";"30-ENTRE RÍOS";"15.TODAS LAS EDADES";"Ambos sexos";1410908
2022;"30";"30-ENTRE RÍOS";"15.TODAS LAS EDADES";"Mujeres";717489
2022;"30";"30-ENTRE RÍOS";"15.TODAS LAS EDADES";"Varones";693419
2022;"30";"30-ENTRE RÍOS";"2.5-9";"Ambos sexos";112183
2022;"30";"30-ENTRE RÍOS";"2.5-9";"Mujeres";54460
2022;"30";"30-ENTRE RÍOS";"2.5-9";"Varones";57723
2022;"30";"30-ENTRE RÍOS";"3.10-14";"Ambos sexos";109878
2022;"30";"30-ENTRE RÍOS";"3.10-14";"Mujeres";53294
2022;"30";"30-ENTRE RÍOS";"3.10-14";"Varones";56584
2022;"30";"30-ENTRE RÍOS";"4.15-19";"Ambos sexos";108746
2022;"30";"30-ENTRE RÍOS";"4.15-19";"Mujeres";53009
2022;"30";"30-ENTRE RÍOS";"4.15-19";"Varones";55737
2022;"30";"30-ENTRE RÍOS";"5.20-24";"Ambos sexos";111410
2022;"30";"30-ENTRE RÍOS";"5.20-24";"Mujeres";54670
2022;"30";"30-ENTRE RÍOS";"5.20-24";"Varones";56740
2022;"30";"30-ENTRE RÍOS";"6.25-29";"Ambos sexos";110151
2022;"30";"30-ENTRE RÍOS";"6.25-29";"Mujeres";54349
2022;"30";"30-ENTRE RÍOS";"6.25-29";"Varones";55802
2022;"30";"30-ENTRE RÍOS";"7.30-34";"Ambos sexos";100918
